date,item_id,item_name,units_sold,stockout_flag,is_weekend,is_rainy,lag_1,lag_7,rolling_7_avg
2024-09-17,M01,Nasi Goreng Spesial,69,0,0,1,76.0,88.0,90.0
2024-09-18,M01,Nasi Goreng Spesial,105,0,0,0,69.0,82.0,87.28571428571429
2024-09-19,M01,Nasi Goreng Spesial,78,0,0,1,105.0,73.0,90.57142857142857
2024-09-20,M01,Nasi Goreng Spesial,93,0,0,1,78.0,92.0,91.28571428571429
2024-09-21,M01,Nasi Goreng Spesial,118,0,1,1,93.0,123.0,91.42857142857143
2024-09-22,M01,Nasi Goreng Spesial,115,0,1,0,118.0,96.0,90.71428571428571
2024-09-23,M01,Nasi Goreng Spesial,85,0,0,0,115.0,76.0,93.42857142857143
2024-09-24,M01,Nasi Goreng Spesial,102,0,0,0,85.0,69.0,94.71428571428571
2024-09-25,M01,Nasi Goreng Spesial,101,0,0,0,102.0,105.0,99.42857142857143
2024-09-26,M01,Nasi Goreng Spesial,73,0,0,0,101.0,78.0,98.85714285714286
2024-09-27,M01,Nasi Goreng Spesial,98,0,0,0,73.0,93.0,98.14285714285714
2024-09-28,M01,Nasi Goreng Spesial,119,0,1,0,98.0,118.0,98.85714285714286
2024-09-29,M01,Nasi Goreng Spesial,110,0,1,1,119.0,115.0,99.0
2024-09-30,M01,Nasi Goreng Spesial,92,0,0,0,110.0,85.0,98.28571428571429
2024-10-01,M01,Nasi Goreng Spesial,113,0,0,0,92.0,102.0,99.28571428571429
2024-10-02,M01,Nasi Goreng Spesial,100,0,0,0,113.0,101.0,100.85714285714286
2024-10-03,M01,Nasi Goreng Spesial,75,0,0,1,100.0,73.0,100.71428571428571
2024-10-04,M01,Nasi Goreng Spesial,110,0,0,0,75.0,98.0,101.0
2024-10-05,M01,Nasi Goreng Spesial,108,0,1,1,110.0,119.0,102.71428571428571
2024-10-06,M01,Nasi Goreng Spesial,116,0,1,1,108.0,110.0,101.14285714285714
2024-10-07,M01,Nasi Goreng Spesial,108,0,0,0,116.0,92.0,102.0
2024-10-08,M01,Nasi Goreng Spesial,77,0,0,1,108.0,113.0,104.28571428571429
2024-10-09,M01,Nasi Goreng Spesial,109,0,0,0,77.0,100.0,99.14285714285714
2024-10-10,M01,Nasi Goreng Spesial,97,0,0,1,109.0,75.0,100.42857142857143
2024-10-11,M01,Nasi Goreng Spesial,99,0,0,0,97.0,110.0,103.57142857142857
2024-10-12,M01,Nasi Goreng Spesial,81,1,1,1,99.0,108.0,102.0
2024-10-13,M01,Nasi Goreng Spesial,118,0,1,1,81.0,116.0,98.14285714285714
2024-10-14,M01,Nasi Goreng Spesial,76,1,0,0,118.0,108.0,98.42857142857143
2024-10-15,M01,Nasi Goreng Spesial,100,0,0,0,76.0,77.0,93.85714285714286
2024-10-16,M01,Nasi Goreng Spesial,85,0,0,1,100.0,109.0,97.14285714285714
2024-10-17,M01,Nasi Goreng Spesial,94,0,0,1,85.0,97.0,93.71428571428571
2024-10-18,M01,Nasi Goreng Spesial,82,0,0,0,94.0,99.0,93.28571428571429
2024-10-19,M01,Nasi Goreng Spesial,107,0,1,1,82.0,81.0,90.85714285714286
2024-10-20,M01,Nasi Goreng Spesial,107,1,1,0,107.0,118.0,94.57142857142857
2024-10-21,M01,Nasi Goreng Spesial,93,0,0,0,107.0,76.0,93.0
2024-10-22,M01,Nasi Goreng Spesial,103,0,0,0,93.0,100.0,95.42857142857143
2024-10-23,M01,Nasi Goreng Spesial,116,0,0,0,103.0,85.0,95.85714285714286
