date,item_id,item_name,units_sold,stockout_flag,is_weekend,is_rainy
2024-09-10,M01,Nasi Goreng Spesial,88,0,0,0
2024-09-10,M02,Mie Goreng Ayam,73,0,0,0
2024-09-10,M03,Es Teh Manis,152,0,0,0
2024-09-11,M01,Nasi Goreng Spesial,82,1,0,0
2024-09-11,M02,Mie Goreng Ayam,65,0,0,0
2024-09-11,M03,Es Teh Manis,155,0,0,0
2024-09-12,M01,Nasi Goreng Spesial,73,0,0,0
2024-09-12,M02,Mie Goreng Ayam,79,0,0,0
2024-09-12,M03,Es Teh Manis,145,0,0,0
2024-09-13,M01,Nasi Goreng Spesial,92,0,0,0
2024-09-13,M02,Mie Goreng Ayam,70,0,0,0
2024-09-13,M03,Es Teh Manis,135,0,0,0
2024-09-14,M01,Nasi Goreng Spesial,123,0,1,0
2024-09-14,M02,Mie Goreng Ayam,100,0,1,0
2024-09-14,M03,Es Teh Manis,184,0,1,0
2024-09-15,M01,Nasi Goreng Spesial,96,1,1,0
2024-09-15,M02,Mie Goreng Ayam,99,0,1,0
2024-09-15,M03,Es Teh Manis,182,0,1,0
2024-09-16,M01,Nasi Goreng Spesial,76,1,0,0
2024-09-16,M02,Mie Goreng Ayam,78,0,0,0
2024-09-16,M03,Es Teh Manis,139,0,0,0
2024-09-17,M01,Nasi Goreng Spesial,69,0,0,1
2024-09-17,M02,Mie Goreng Ayam,62,0,0,1
2024-09-17,M03,Es Teh Manis,109,0,0,1
2024-09-18,M01,Nasi Goreng Spesial,105,0,0,0
2024-09-18,M02,Mie Goreng Ayam,78,0,0,0
2024-09-18,M03,Es Teh Manis,147,0,0,0
2024-09-19,M01,Nasi Goreng Spesial,78,0,0,1
2024-09-19,M02,Mie Goreng Ayam,54,0,0,1
2024-09-19,M03,Es Teh Manis,125,0,0,1
2024-09-20,M01,Nasi Goreng Spesial,93,0,0,1
2024-09-20,M02,Mie Goreng Ayam,62,0,0,1
2024-09-20,M03,Es Teh Manis,137,0,0,1
2024-09-21,M01,Nasi Goreng Spesial,118,0,1,1
2024-09-21,M02,Mie Goreng Ayam,51,0,1,1
2024-09-21,M03,Es Teh Manis,173,0,1,1
2024-09-22,M01,Nasi Goreng Spesial,115,0,1,0
2024-09-22,M02,Mie Goreng Ayam,75,1,1,0
2024-09-22,M03,Es Teh Manis,189,0,1,0
2024-09-23,M01,Nasi Goreng Spesial,85,0,0,0
2024-09-23,M02,Mie Goreng Ayam,45,1,0,0
2024-09-23,M03,Es Teh Manis,144,0,0,0
2024-09-24,M01,Nasi Goreng Spesial,102,0,0,0
2024-09-24,M02,Mie Goreng Ayam,73,0,0,0
2024-09-24,M03,Es Teh Manis,163,0,0,0
2024-09-25,M01,Nasi Goreng Spesial,101,0,0,0
2024-09-25,M02,Mie Goreng Ayam,66,0,0,0
2024-09-25,M03,Es Teh Manis,135,0,0,0
2024-09-26,M01,Nasi Goreng Spesial,73,0,0,0
2024-09-26,M02,Mie Goreng Ayam,73,0,0,0
2024-09-26,M03,Es Teh Manis,154,0,0,0
2024-09-27,M01,Nasi Goreng Spesial,98,0,0,0
2024-09-27,M02,Mie Goreng Ayam,54,1,0,0
2024-09-27,M03,Es Teh Manis,149,0,0,0
2024-09-28,M01,Nasi Goreng Spesial,119,0,1,0
2024-09-28,M02,Mie Goreng Ayam,81,0,1,0
2024-09-28,M03,Es Teh Manis,188,0,1,0
2024-09-29,M01,Nasi Goreng Spesial,110,0,1,1
2024-09-29,M02,Mie Goreng Ayam,57,1,1,1
2024-09-29,M03,Es Teh Manis,154,0,1,1
2024-09-30,M01,Nasi Goreng Spesial,92,0,0,0
2024-09-30,M02,Mie Goreng Ayam,77,0,0,0
2024-09-30,M03,Es Teh Manis,164,0,0,0
2024-10-01,M01,Nasi Goreng Spesial,113,0,0,0
2024-10-01,M02,Mie Goreng Ayam,60,0,0,0
2024-10-01,M03,Es Teh Manis,144,0,0,0
2024-10-02,M01,Nasi Goreng Spesial,100,0,0,0
2024-10-02,M02,Mie Goreng Ayam,66,0,0,0
2024-10-02,M03,Es Teh Manis,155,0,0,0
2024-10-03,M01,Nasi Goreng Spesial,75,0,0,1
2024-10-03,M02,Mie Goreng Ayam,38,1,0,1
2024-10-03,M03,Es Teh Manis,124,0,0,1
2024-10-04,M01,Nasi Goreng Spesial,110,0,0,0
2024-10-04,M02,Mie Goreng Ayam,75,0,0,0
2024-10-04,M03,Es Teh Manis,146,0,0,0
2024-10-05,M01,Nasi Goreng Spesial,108,0,1,1
2024-10-05,M02,Mie Goreng Ayam,64,0,1,1
